athleteName,clubName
"Lewis Thomas (footballer, born 2002)",Manchester City F.C.
Peter Cruse,Arsenal F.C.
Johan Guadagno,Manchester United F.C.
Joe Norton (footballer),Manchester United F.C.
Lakyle Samuel,Manchester City F.C.
Stanley Briggs,Arsenal F.C.
Zain Silcott-Duberry,Chelsea F.C.
Brad House,Arsenal F.C.
Nicolas Jover,Arsenal F.C.
Andreas Pereira,Manchester United F.C.
Darío Sarmiento,Manchester City F.C.
João Cancelo,Manchester City F.C.
João Virgínia,Arsenal F.C.
Kalidou Koulibaly,Chelsea F.C.
Ko Itakura,Manchester City F.C.
Thiago Silva,Chelsea F.C.
"Willian (footballer, born 1988)",Arsenal F.C.
"Willian (footballer, born 1988)",Chelsea F.C.
Wout Weghorst,Manchester United F.C.
"Albert Rusnák (footballer, born 1994)",Manchester City F.C.
"Peter Simpson (footballer, born 1945)",Arsenal F.C.
Rob Holding,Arsenal F.C.
Zack Steffen,Manchester City F.C.
Carl Bradshaw (footballer),Manchester City F.C.
David White (English footballer),Manchester City F.C.
Frank Knowles,Manchester City F.C.
Frank Knowles,Manchester United F.C.
Geert De Vlieger,Manchester City F.C.
Hatem Trabelsi,Manchester City F.C.
Javan Vidal,Manchester City F.C.
Kenny Cooper,Manchester United F.C.
Matej Delač,Chelsea F.C.
Adrian Cieślewicz,Manchester City F.C.
"Charlie Gilmour (footballer, born 1999)",Arsenal F.C.
Emmanuel Adebayor,Arsenal F.C.
Emmanuel Adebayor,Manchester City F.C.
"Harry Wood (footballer, born 2002)",Manchester United F.C.
Jack Henry-Francis,Arsenal F.C.
James Olayinka,Arsenal F.C.
Josimar Quintero,Chelsea F.C.
Kane Ritchie-Hosler,Manchester City F.C.
Ryan McGivern,Manchester City F.C.
Sean McGinty,Manchester United F.C.
Stathis Tavlaridis,Arsenal F.C.
Trae Coyle,Arsenal F.C.
Tyreke Wilson,Manchester City F.C.
Vincenzo Camilleri,Chelsea F.C.
Francis Jeffers,Arsenal F.C.
Jeff Clarke (English footballer),Manchester City F.C.
Michal Papadopulos,Arsenal F.C.
Norman Uprichard,Arsenal F.C.
Phil Boyer,Manchester City F.C.
Rui Fonte,Arsenal F.C.
Aaron Mooy,Manchester City F.C.
Charlie Buchan,Arsenal F.C.
Keith Fahey,Arsenal F.C.
Luke Freeman,Arsenal F.C.
Michael Tonge,Manchester United F.C.
Nikita Haikin,Chelsea F.C.
Tony Cascarino,Chelsea F.C.
"Colin Gibson (footballer, born 1960)",Manchester United F.C.
Paul Elliott (footballer),Chelsea F.C.
"Paul Stewart (footballer, born 1964)",Manchester City F.C.
Ángelo Henríquez,Manchester United F.C.
Ben Morton (footballer),Manchester United F.C.
"Ben Smith (footballer, born 1978)",Arsenal F.C.
Ben Thornley,Manchester United F.C.
Chris Buckley (footballer),Arsenal F.C.
Chris Buckley (footballer),Manchester City F.C.
Chris Chantler (footballer),Manchester City F.C.
Chris Fagan (Irish footballer),Manchester United F.C.
Chris Glennon,Manchester City F.C.
"Chris Jones (footballer, born 1945)",Manchester City F.C.
"Chris Jones (footballer, born 1956)",Manchester City F.C.
Chris Kettings,Manchester City F.C.
Chris McGrath (footballer),Manchester United F.C.
Chris Short (footballer),Manchester United F.C.
Chris Whelpdale,Arsenal F.C.
Chris Wright (footballer),Arsenal F.C.
Ciaran Kilheeney,Manchester City F.C.
Craig Lawton,Manchester United F.C.
Foster Hedley,Manchester City F.C.
Frank Booth (English footballer),Manchester City F.C.
Frank Brett,Manchester United F.C.
