athleteLabel,clubLabel
Florent Malouda,Chelsea F.C.
William Gallas,Chelsea F.C.
Nicolas Anelka,Chelsea F.C.
Gianfranco Zola,Chelsea F.C.
Alec Chamberlain,Chelsea F.C.
Ray Lewington,Chelsea F.C.
Nathaniel Chalobah,Chelsea F.C.
Siobhan Chamberlain,Chelsea F.C.
Dunia Susi,Chelsea F.C.
Claire Rafferty,Chelsea F.C.
Anita Asante,Chelsea F.C.
Eniola Aluko,Chelsea F.C.
Ellen White,Chelsea F.C.
Michael Ballack,Chelsea F.C.
Cesc Fàbregas,Chelsea F.C.
Oscar,Chelsea F.C.
Maniche,Chelsea F.C.
Andriy Shevchenko,Chelsea F.C.
Frank Lampard,Chelsea F.C.
Fernando Torres,Chelsea F.C.
Arjen Robben,Chelsea F.C.
Didier Drogba,Chelsea F.C.
André Schürrle,Chelsea F.C.
Gökhan Töre,Chelsea F.C.
Thibaut Courtois,Chelsea F.C.
John Terry,Chelsea F.C.
Antonio Rüdiger,Chelsea F.C.
Claudio Pizarro,Chelsea F.C.
Loïc Rémy,Chelsea F.C.
William Foulke,Chelsea F.C.
Winston Bogarde,Chelsea F.C.
Lucas Piazón,Chelsea F.C.
Ashley Cole,Chelsea F.C.
Ken Monkou,Chelsea F.C.
Alexandre Pato,Chelsea F.C.
Radamel Falcao,Chelsea F.C.
Fred Taylor,Chelsea F.C.
Marko Marin,Chelsea F.C.
Robert Huth,Chelsea F.C.
Carlton Cole,Chelsea F.C.
Mark Schwarzer,Chelsea F.C.
Hernán Crespo,Chelsea F.C.
Mikel John Obi,Chelsea F.C.
Christian Panucci,Chelsea F.C.
George Weah,Chelsea F.C.
Tony Dorigo,Chelsea F.C.
Ruud Gullit,Chelsea F.C.
Raul Meireles,Chelsea F.C.
Peter Osgood,Chelsea F.C.
Salomon Kalou,Chelsea F.C.
Vivian Woodward,Chelsea F.C.
Branislav Ivanović,Chelsea F.C.
Yuri Zhirkov,Chelsea F.C.
Claude Makelélé,Chelsea F.C.
Paulo Ferreira,Chelsea F.C.
Joe Cole,Chelsea F.C.
Glen Johnson,Chelsea F.C.
Eiður Guðjohnsen,Chelsea F.C.
Ricardo Quaresma,Chelsea F.C.
Yossi Benayoun,Chelsea F.C.
Khalid Boulahrouz,Chelsea F.C.
Shaun Wright-Phillips,Chelsea F.C.
Damien Duff,Chelsea F.C.
Roberto Di Matteo,Chelsea F.C.
Marcel Desailly,Chelsea F.C.
Jeffrey Bruma,Chelsea F.C.
Robert Green,Chelsea F.C.
Adrian Mutu,Chelsea F.C.
Mateja Kežman,Chelsea F.C.
Geremi,Chelsea F.C.
Ramires,Chelsea F.C.
Filipe Morais,Chelsea F.C.
Wayne Bridge,Chelsea F.C.
Carlo Cudicini,Chelsea F.C.
Emerson Thome,Chelsea F.C.
Thiago Silva,Chelsea F.C.
Tiago Mendes,Chelsea F.C.
José Bosingwa,Chelsea F.C.
Brian Laudrup,Chelsea F.C.
Scott Parker,Chelsea F.C.
Eden Hazard,Chelsea F.C.
Mark Hughes,Chelsea F.C.
Hilário,Chelsea F.C.
Tore André Flo,Chelsea F.C.
Alex Rodrigo Dias da Costa,Chelsea F.C.
Daniel Sturridge,Chelsea F.C.
Jimmy Floyd Hasselbaink,Chelsea F.C.
Gary Cahill,Chelsea F.C.
Marco Amelia,Chelsea F.C.
Juliano Belletti,Chelsea F.C.
Gianluca Vialli,Chelsea F.C.
Phil Younghusband,Chelsea F.C.
Ross Turnbull,Chelsea F.C.
Fabio Borini,Chelsea F.C.
Ian Pearce,Chelsea F.C.
Junior Mendes,Chelsea F.C.
John Harris,Chelsea F.C.
Matej Delač,Chelsea F.C.
Frode Grodås,Chelsea F.C.
Yūki Nagasato,Chelsea F.C.
Emmanuel Petit,Chelsea F.C.
Boudewijn Zenden,Chelsea F.C.
Steve Sidwell,Chelsea F.C.
Tal Ben Haim,Chelsea F.C.
Dave Beasant,Chelsea F.C.
Frank Leboeuf,Chelsea F.C.
Victor Moses,Chelsea F.C.
Demba Ba,Chelsea F.C.
Ryan Bertrand,Chelsea F.C.
Jesper Grønkjær,Chelsea F.C.
Glenn Hoddle,Chelsea F.C.
Vinnie Jones,Chelsea F.C.
Jimmy Greaves,Chelsea F.C.
Miroslav Stoch,Chelsea F.C.
Gaël Kakuta,Chelsea F.C.
Eduardo Carvalho,Chelsea F.C.
Nils Middelboe,Chelsea F.C.
Scott Sinclair,Chelsea F.C.
Josh McEachran,Chelsea F.C.
Asier del Horno,Chelsea F.C.
Jared Borgetti,Chelsea F.C.
Celestine Babayaro,Chelsea F.C.
Mineiro,Chelsea F.C.
Sam Hutchinson,Chelsea F.C.
George Graham,Chelsea F.C.
Terry Venables,Chelsea F.C.
Michael Mancienne,Chelsea F.C.
Franco Di Santo,Chelsea F.C.
Albert Ferrer,Chelsea F.C.
Baba Rahman,Chelsea F.C.
Patrick Bamford,Chelsea F.C.
Dennis Wise,Chelsea F.C.
Islam Feruz,Chelsea F.C.
James Younghusband,Chelsea F.C.
Anthony Grant,Chelsea F.C.
Ron Harris,Chelsea F.C.
Gus Poyet,Chelsea F.C.
Lianne Sanderson,Chelsea F.C.
Magnus Hedman,Chelsea F.C.
Ben Sahar,Chelsea F.C.
Ed de Goey,Chelsea F.C.
