athlete,club,source
"Lewis Thomas (footballer, born 2002)",Manchester City F.C.,DBpedia
Peter Cruse,Arsenal F.C.,DBpedia
Johan Guadagno,Manchester United F.C.,DBpedia
Joe Norton (footballer),Manchester United F.C.,DBpedia
Lakyle Samuel,Manchester City F.C.,DBpedia
Stanley Briggs,Arsenal F.C.,DBpedia
Zain Silcott-Duberry,Chelsea F.C.,DBpedia
Brad House,Arsenal F.C.,DBpedia
Nicolas Jover,Arsenal F.C.,DBpedia
Andreas Pereira,Manchester United F.C.,DBpedia
Darío Sarmiento,Manchester City F.C.,DBpedia
João Cancelo,Manchester City F.C.,DBpedia
João Virgínia,Arsenal F.C.,DBpedia
Kalidou Koulibaly,Chelsea F.C.,DBpedia
Ko Itakura,Manchester City F.C.,DBpedia
Thiago Silva,Chelsea F.C.,DBpedia
"Willian (footballer, born 1988)",Arsenal F.C.,DBpedia
"Willian (footballer, born 1988)",Chelsea F.C.,DBpedia
Wout Weghorst,Manchester United F.C.,DBpedia
"Albert Rusnák (footballer, born 1994)",Manchester City F.C.,DBpedia
"Peter Simpson (footballer, born 1945)",Arsenal F.C.,DBpedia
Rob Holding,Arsenal F.C.,DBpedia
Zack Steffen,Manchester City F.C.,DBpedia
Carl Bradshaw (footballer),Manchester City F.C.,DBpedia
David White (English footballer),Manchester City F.C.,DBpedia
Frank Knowles,Manchester City F.C.,DBpedia
Frank Knowles,Manchester United F.C.,DBpedia
Geert De Vlieger,Manchester City F.C.,DBpedia
Hatem Trabelsi,Manchester City F.C.,DBpedia
Javan Vidal,Manchester City F.C.,DBpedia
Kenny Cooper,Manchester United F.C.,DBpedia
Matej Delač,Chelsea F.C.,DBpedia
Adrian Cieślewicz,Manchester City F.C.,DBpedia
"Charlie Gilmour (footballer, born 1999)",Arsenal F.C.,DBpedia
Emmanuel Adebayor,Arsenal F.C.,DBpedia
Emmanuel Adebayor,Manchester City F.C.,DBpedia
"Harry Wood (footballer, born 2002)",Manchester United F.C.,DBpedia
Jack Henry-Francis,Arsenal F.C.,DBpedia
James Olayinka,Arsenal F.C.,DBpedia
Josimar Quintero,Chelsea F.C.,DBpedia
Kane Ritchie-Hosler,Manchester City F.C.,DBpedia
Ryan McGivern,Manchester City F.C.,DBpedia
Sean McGinty,Manchester United F.C.,DBpedia
Stathis Tavlaridis,Arsenal F.C.,DBpedia
Trae Coyle,Arsenal F.C.,DBpedia
Tyreke Wilson,Manchester City F.C.,DBpedia
Vincenzo Camilleri,Chelsea F.C.,DBpedia
Francis Jeffers,Arsenal F.C.,DBpedia
Jeff Clarke (English footballer),Manchester City F.C.,DBpedia
Michal Papadopulos,Arsenal F.C.,DBpedia
Norman Uprichard,Arsenal F.C.,DBpedia
Phil Boyer,Manchester City F.C.,DBpedia
Rui Fonte,Arsenal F.C.,DBpedia
Aaron Mooy,Manchester City F.C.,DBpedia
Charlie Buchan,Arsenal F.C.,DBpedia
Keith Fahey,Arsenal F.C.,DBpedia
Luke Freeman,Arsenal F.C.,DBpedia
Michael Tonge,Manchester United F.C.,DBpedia
Nikita Haikin,Chelsea F.C.,DBpedia
Tony Cascarino,Chelsea F.C.,DBpedia
